NAME,SpMax1_Bh(s),SpMax2_Bh(s),SpMax3_Bh(s),SpMax4_Bh(s),SpMax5_Bh(s),SpMax6_Bh(s),SpMax7_Bh(s),,,,,,
Temazepam.mol,7.429,6.448,4.955,4.771,4.441,4.185,3.888,,,,,,
Tamibarotene.mol,7.475,7.429,6.351,4.764,4.65,4.267,4.113,,,,,,
Panobinostat.mol,7.433,6.493,4.958,4.761,4.338,4.251,4.076,,,,,,
Terconazole.mol,5.104,5.021,4.871,4.761,4.612,4.421,4.264,,,,,,
Degrasyn.mol,7.43,6.818,4.891,4.755,4.208,4.063,3.883,,,,,,
Gefitinib.mol,8.201,5.104,4.861,4.755,4.626,4.466,4.368,,,,,,
Tolmetin.mol,7.474,7.427,6.351,4.755,4.674,3.844,3.783,,,,,,
duvelisib.mol,7.428,5.192,4.921,4.754,4.579,4.445,4.258,,,,,,
Prasugrel.mol,8.201,7.434,7.425,4.749,4.638,4.253,4.185,,,,,,
INK128.mol,5.363,5.248,4.875,4.748,4.51,4.209,4.013,,,,,,
Thiazovivin.mol,7.429,5.036,4.784,4.747,4.069,3.996,3.798,,,,,,
GSK 650394.mol,7.475,6.351,5.07,4.742,4.642,4.283,4.193,,,,,,
MK2206.mol,7.43,5.049,4.959,4.737,4.67,4.484,4.136,,,,,,
RKI-1447.mol,7.431,6.471,4.962,4.737,4.631,4.065,3.793,,,,,,
CP-724714.mol,7.429,5.085,4.975,4.736,4.609,4.548,4.308,,,,,,
Tiaprofenic acid.mol,7.474,7.427,6.351,4.735,4.587,3.892,3.674,,,,,,
Colchicine.mol,7.431,7.427,4.974,4.731,4.579,4.48,4.417,,,,,,
A 939572.mol,7.432,7.427,4.99,4.725,4.485,4.314,4.183,,,,,,
mebendazole.mol,7.435,7.427,5.06,4.725,4.511,4.285,3.841,,,,,,
Amuvatinib.mol,5.25,5.008,4.823,4.723,4.36,4.345,4.227,,,,,,
AZD4547.mol,7.429,5.004,4.913,4.722,4.58,4.419,4.228,,,,,,
Risperidone.mol,8.201,7.428,5.246,4.718,4.318,4.309,4.115,,,,,,
TAE226.mol,7.429,5.102,4.856,4.717,4.615,4.506,4.357,,,,,,
Cabergoline.mol,7.444,7.412,4.965,4.715,4.347,4.296,4.241,,,,,,
Tenovin-1.mol,7.432,7.428,4.897,4.714,4.674,4.216,3.998,,,,,,
Tolfenamic Acid.mol,7.475,6.351,4.943,4.713,4.353,3.956,3.801,,,,,,
Masitinib.mol,7.429,4.977,4.798,4.711,4.654,4.378,4.033,,,,,,
Suprofen.mol,7.474,7.427,6.351,4.711,4.612,3.934,3.674,,,,,,
Tolazamide.mol,7.718,7.429,6.999,4.705,4.371,3.954,3.828,,,,,,
Tolbutamide.mol,7.718,7.429,6.999,4.704,4.241,3.954,3.828,,,,,,
Thiamylal.mol,7.443,7.413,4.826,4.703,4.215,3.919,3.63,,,,,,
Axitinib.mol,7.429,5.088,4.895,4.7,4.372,4.18,4.142,,,,,,
Staurosporine.mol,7.429,5.093,4.812,4.7,4.465,4.409,4.253,,,,,,
Mibefradil.mol,8.201,7.432,5.061,4.689,4.598,4.39,4.355,,,,,,
Trimetrexate.mol,5.306,4.984,4.978,4.689,4.58,4.471,4.335,,,,,,
Umeclidinium.mol,6.447,4.803,4.76,4.688,4.518,4.353,3.752,,,,,,
Dapivirine.mol,6.82,5.03,4.729,4.68,4.127,3.966,3.953,,,,,,
Toremifene.mol,4.898,4.771,4.714,4.68,4.396,4.212,3.97,,,,,,
LY3009120.mol,8.201,7.431,5.122,4.676,4.492,4.363,4.152,,,,,,
erlotinib.mol,5.448,5.1,4.78,4.671,4.66,4.566,4.327,,,,,,
nefazodone.mol,7.428,4.944,4.863,4.669,4.422,4.336,4.243,,,,,,
Terazosin.mol,7.427,5.222,4.889,4.661,4.604,4.494,4.26,,,,,,
simvastatin.mol,7.434,7.43,6.449,4.659,4.453,4.375,4.212,,,,,,
Triclosan.mol,6.47,5.062,4.892,4.657,4.476,4.067,3.751,,,,,,
ML323.mol,5.135,5.006,4.683,4.655,4.148,4.139,3.949,,,,,,
NVP-2.mol,6.817,5.047,4.821,4.655,4.601,4.502,4.327,,,,,,
Bexarotene.mol,7.475,6.351,4.874,4.65,4.445,4.193,4.107,,,,,,
Miconazole.mol,5.047,5.001,4.945,4.65,4.626,4.491,4.094,,,,,,
Vandetanib.mol,8.201,5.1,4.764,4.65,4.483,4.319,4.12,,,,,,
AZD8055.mol,6.457,5.112,4.825,4.648,4.622,4.496,4.257,,,,,,
Tegafur.mol,8.203,7.445,7.409,4.647,4.098,3.551,3.483,,,,,,
Deguelin.mol,7.426,4.991,4.903,4.646,4.5,4.454,4.193,,,,,,
Carbamazepine.mol,7.438,4.916,4.813,4.64,4.162,3.806,3.611,,,,,,
Fenretinide.mol,7.43,6.471,4.694,4.638,4.512,4.309,4.008,,,,,,
Tioconazole.mol,5.032,4.947,4.9,4.636,4.486,4.187,4.034,,,,,,
ethinylestradiol.mol,6.471,6.452,5.396,4.629,4.281,3.899,3.772,,,,,,
felodipine.mol,7.435,7.43,5.037,4.629,4.485,4.476,4.412,,,,,,
Sufentanil.mol,7.427,4.768,4.672,4.626,4.287,4.011,3.857,,,,,,
Astemizole.mol,8.201,5.034,4.864,4.624,4.431,4.38,4.26,,,,,,
voxtalisib.mol,7.428,5.22,5.018,4.621,4.166,3.995,3.925,,,,,,
spironolactone.mol,7.434,7.428,7.425,4.604,4.434,4.105,3.873,,,,,,
Anacardic Acid.mol,7.475,6.469,6.35,4.586,4.507,4.264,4.109,,,,,,
Tiagabine.mol,7.474,6.351,4.758,4.583,4.324,4.094,3.702,,,,,,
Piperlongumine.mol,7.444,7.412,4.979,4.58,4.475,4.385,4.328,,,,,,
Trimethobenzamide.mol,7.429,4.967,4.847,4.58,4.462,4.405,4.23,,,,,,
Trimethoprim.mol,5.291,4.983,4.964,4.58,4.473,4.444,4.182,,,,,,
Paricalcitol.mol,6.463,6.447,6.435,4.579,4.43,4.269,4.047,,,,,,
Thiothixene.mol,7.715,6.999,4.819,4.57,4.409,4.194,4.161,,,,,,
Thioproperazine.mol,7.715,6.999,4.804,4.569,4.406,4.173,4.08,,,,,,
AZ 3146.mol,7.428,5.02,4.875,4.566,4.344,4.284,4.17,,,,,,
Doxercalciferol.mol,6.463,6.436,4.704,4.532,4.42,4.211,4.091,,,,,,
Tretinoin.mol,7.476,6.351,4.679,4.51,4.302,4.005,3.912,,,,,,
Tofisopam.mol,5.032,4.895,4.799,4.497,4.495,4.31,4.192,,,,,,
Verapamil.mol,6.817,4.945,4.914,4.496,4.496,4.38,4.339,,,,,,
Triazolam.mol,5.113,4.945,4.882,4.488,4.324,4.181,3.804,,,,,,
Tazarotene.mol,7.433,4.995,4.73,4.475,4.371,4.126,3.813,,,,,,
mestranol.mol,6.453,5.396,4.856,4.44,4.24,3.891,3.77,,,,,,
Sotradecol.mol,7.866,6.999,6.999,4.428,4.233,4.121,4.045,,,,,,
Trazodone.mol,7.428,4.943,4.809,4.424,4.294,4.226,3.908,,,,,,
desogestrel.mol,6.453,5.396,4.698,4.423,4.192,3.933,3.79,,,,,,
LDN-212854.mol,5.148,4.963,4.736,4.418,4.354,4.316,3.965,,,,,,
Tamoxifen.mol,4.894,4.765,4.712,4.399,4.233,4.096,3.763,,,,,,
Finasteride.mol,7.431,7.427,4.544,4.396,4.302,3.943,3.832,,,,,,
Tolterodine.mol,6.469,4.767,4.601,4.387,4.048,3.963,3.732,,,,,,
Meclizine.mol,4.947,4.76,4.732,4.376,4.252,3.912,3.808,,,,,,
Abiraterone.mol,6.449,4.913,4.552,4.373,3.908,3.887,3.797,,,,,,
Trimethaphan.mol,7.428,4.77,4.739,4.37,4.01,3.829,3.674,,,,,,
metoprololtartrate.mol,6.449,4.846,4.621,4.368,4.272,3.749,3.674,,,,,,
Tolnaftate.mol,5.038,4.832,4.704,4.336,3.967,3.898,3.843,,,,,,
ondansetron.mol,7.426,4.937,4.89,4.304,3.98,3.753,3.742,,,,,,
Sertraline.mol,5.042,4.747,4.491,4.301,4.248,3.865,3.657,,,,,,
Tasimelteon.mol,6.475,4.871,4.463,4.291,4.077,3.846,3.547,,,,,,
Terbinafine.mol,4.901,4.821,4.368,4.286,4.116,3.832,3.724,,,,,,
Venlafaxine.mol,6.446,4.864,4.403,4.275,4.154,3.674,3.621,,,,,,
Fluorouracil.mol,8.203,7.446,7.41,4.274,3.572,2.987,1.657,,,,,,
Kenpaullone.mol,7.429,4.972,4.701,4.267,3.949,3.776,3.58,,,,,,
Chloroquine.mol,5.055,4.706,4.357,4.253,4.085,3.892,3.867,,,,,,
Thiopental.mol,7.443,7.413,4.824,4.251,4.028,3.846,3.577,,,,,,
Cholesterol.mol,6.449,4.548,4.345,4.248,4.037,3.896,3.765,,,,,,
Gabapentin.mol,7.474,6.351,5.006,4.234,3.603,3.474,2.977,,,,,,
Tavaborole.mol,8.201,6.446,4.69,4.216,3.582,3.129,2.616,,,,,,
Tymazoline.mol,4.875,4.69,4.267,4.157,3.734,3.532,3.467,,,,,,
Nabumetone.mol,7.427,4.945,4.588,4.138,3.911,3.772,3.514,,,,,,
Trioxsalen.mol,7.434,5.126,4.631,4.132,3.964,3.851,3.633,,,,,,
Triprolidine.mol,4.924,4.719,4.368,4.108,3.826,3.76,3.674,,,,,,
Tapentadol.mol,6.471,4.634,4.344,4.104,3.876,3.601,3.467,,,,,,
Fatostatin A.mol,4.957,4.792,4.587,4.088,3.849,3.676,3.674,,,,,,
Trimipramine.mol,4.817,4.642,4.353,4.068,3.929,3.801,3.618,,,,,,
Harmine.mol,5.09,4.765,4.445,4.056,3.868,3.627,3.293,,,,,,
Valproic Acid.mol,7.474,6.351,4.201,4.04,3.584,3.112,2.56,,,,,,
Thioridazine.mol,4.813,4.594,4.375,4.019,3.887,3.805,3.662,,,,,,
Tripelennamine.mol,4.902,4.743,4.331,4.016,3.823,3.674,3.623,,,,,,
Tizanidine.mol,5.106,4.765,4.692,3.983,3.872,3.531,3.433,,,,,,
mirtazapine.mol,4.902,4.693,4.328,3.896,3.891,3.679,3.587,,,,,,
Thiabendazole.mol,5.1,4.773,4.289,3.852,3.35,3.172,3.148,,,,,,
Thymol.mol,6.469,4.634,4.158,3.736,3.467,3.416,2.982,,,,,,
